#host_mono_ns,byte_offset,bytes
173096580483798,11657,42
173096581453798,11699,42
173096582521819,11741,42
173096583632444,11783,42
173096584700882,11825,42
173096585767861,11867,42
173096586837965,11909,42
173096587968017,11951,42
173096588982080,11993,42
173096590059580,12035,20
173096590142861,12055,42
173096591132184,12097,42
173096592194632,12139,42
173096593263278,12181,42
173096594335205,12223,42
173096595402809,12265,42
173096596472236,12307,42
173096596545413,12349,42
173096597548278,12391,42
173096598611871,12433,42
173096599680361,12475,42
173096600781715,12517,42
173096601839840,12559,42
173096602910413,12601,42
173096603977601,12643,42
173096605048330,12685,42
173096606116611,12727,42
173096607190257,12769,42
173096608262548,12811,42
173096609327965,12853,42
173096610426038,12895,42
173096611472288,12937,42
173096612539632,12979,42
173096612611090,13021,42
173096613608746,13063,42
173096614678903,13105,42
173096615749163,13147,42
173096616874319,13189,42
173096617890569,13231,42
173096618960153,13273,42
173096620266975,13315,42
173096621115830,13357,42
173096622180986,13399,42
173096623251559,13441,20
173096623322965,13461,42
173096624321715,13503,42
173096625389475,13545,42
173096626466090,13587,42
173096634459944,13629,42
173096634558486,13671,42
173096634621038,13713,42
173096634681923,13755,42
173096634741350,13797,42
173096634800569,13839,42
173096634924632,13881,42
173096634989788,13923,42
173096635050361,13965,42
173096636112913,14007,42
173096637195309,14049,42
173096638266455,14091,42
173096639320413,14133,42
173096640553017,14175,42
173096641454267,14217,42
173096642521715,14259,42
173096643592340,14301,42
173096644659580,14343,42
173096645724528,14385,42
173096645793017,14427,42
173096646798225,14469,42
173096647868225,14511,42
173096649132653,14553,42
173096650235205,14595,42
173096651088017,14637,42
173096652153382,14679,42
173096653219580,14721,42
173096654296403,14763,42
173096655369423,14805,42
173096656429007,14847,20
173096656497132,14867,42
173096657501142,14909,42
173096658609684,14951,42
173096659636455,14993,42
173096660748017,15035,42
173096661823850,15077,42
173096663017965,15119,42
173096663093225,15161,42
173096663958590,15203,42
173096665034007,15245,42
173096666104996,15287,42
173096667169215,15329,42
173096668233173,15371,42
173096669304215,15413,42
173096670389996,15455,42
173096671442548,15497,42
173096672516298,15539,42
173096673590830,15581,42
173096674662132,15623,42
173096675729371,15665,42
173096676927392,15707,42
173096677883590,15749,42
173096678945569,15791,42
173096679017496,15833,42
173096680394996,15875,42
173096681036090,15917,42
173096682107809,15959,42
173096683158538,16001,42
173096684265309,16043,42
173096685272809,16085,42
173096686329996,16127,42
173096687385048,16169,42
173096688539632,16211,42
173096689599267,16253,42
173096689656455,16295,20
173096690921038,16315,42
173096691744475,16357,42
173096692801403,16399,42
173096693852132,16441,42
173096694916298,16483,42
173096695974996,16525,42
173096697077548,16567,42
173096697138798,16609,42
173096698100621,16651,42
173096699158955,16693,42
173096700361923,16735,42
173096701276298,16777,42
173096702333694,16819,42
173096703385413,16861,42
173096704447548,16903,42
173096705520725,16945,42
173096706570257,16987,42
173096707631246,17029,42
173096708691611,17071,42
173096709747913,17113,42
173096710892600,17155,42
173096711945882,17197,42
173096713004111,17239,42
173096714054892,17281,42
173096715121923,17323,42
173096716180778,17365,42
173096716236507,17407,42
173096717241819,17449,42
173096718302184,17491,42
173096719364788,17533,42
173096720430725,17575,42
173096721479371,17617,42
173096722542340,17659,42
173096722598798,17701,20
173096723591403,17721,42
173096724656194,17763,42
173096725718017,17805,42
173096726779215,17847,42
173096727834371,17889,42
173096728930778,17931,42
173096729977340,17973,42
173096731040934,18015,42
173096732093330,18057,42
173096733190048,18099,42
173096734225673,18141,42
173096734283538,18183,42
173096735291455,18225,42
173096736351559,18267,42
173096737426975,18309,42
173096738476403,18351,42
173096739536403,18393,42
173096740621663,18435,42
173096741674840,18477,42
173096742738850,18519,42
173096743792288,18561,42
173096744854007,18603,42
173096745916559,18645,42
173096746979840,18687,42
173096748034892,18729,42
173096749099163,18771,42
173096750259632,18813,42
173096751298486,18855,42
173096752359580,18897,42
173096752416246,18939,42
173096753420934,18981,42
173096754474111,19023,42
173096755542913,19065,42
173096756599475,19107,20
173096756654475,19127,42
173096757657600,19169,42
173096758727913,19211,42
173096759783903,19253,42
173096761151975,19295,42
173096761916455,19337,42
173096762978850,19379,42
173096764033434,19421,42
173096765099892,19463,42
173096766156298,19505,42
173096767217600,19547,42
173096768276194,19589,42
173096769341038,19631,42
173096770404528,19673,42
173096771458382,19715,42
173096771513434,19757,42
173096772521194,19799,42
173096773572288,19841,42
173096774643069,19883,42
173096775704840,19925,42
173096776762340,19967,42
173096777820882,20009,42
173096778894788,20051,42
173096779940309,20093,42
173096781016142,20135,42
173096782065153,20177,42
173096783132288,20219,42
173096784186142,20261,42
173096785244059,20303,42
173096786309215,20345,42
173096787368798,20387,42
173096788472496,20429,42
173096789520465,20471,42
173096789631715,20513,20
173096790727913,20533,42
173096791784423,20575,42
173096791847913,20617,42
173096792839475,20659,42
173096793899475,20701,42
173096794944996,20743,42
173096796025257,20785,42
173096797064528,20827,42
173096798134059,20869,42
173096799187392,20911,42
173096800487444,20953,42
173096801355673,20995,42
173096802427965,21037,42
173096803493121,21079,42
173096804556194,21121,42
173096805623798,21163,42
173096806700100,21205,42
173096807759840,21247,42
173096807835205,21289,42
173096808917236,21331,42
173096809903955,21373,42
173096811115153,21415,42
173096812046819,21457,42
173096813101559,21499,42
173096814180830,21541,42
173096815242600,21583,42
173096816698434,21625,42
173096817431871,21667,42
173096818485153,21709,42
173096819546455,21751,42
173096820636871,21793,42
173096821701663,21835,42
173096822768225,21877,42
173096822839788,21919,20
173096823839163,21939,42
173096823908903,21981,42
173096824910725,22023,42
173096825975725,22065,42
173096827047653,22107,42
173096828123746,22149,42
173096829377913,22191,42
173096830323902,22233,42
173096831369423,22275,42
173096832425986,22317,42
173096833498434,22359,42
173096834566923,22401,42
173096835635621,22443,42
173096836702757,22485,42
