# timestamp tx ty tz qx qy qz qw
173373.363445186 0.002067085 0.003038380 0.000618882 0.526466132 -0.515873551 -0.441508940 0.511642207
173373.396779135 0.001859478 0.003013430 0.000971454 0.528125493 -0.518429996 -0.439651766 0.508940200
173373.430113085 0.001834667 0.002717905 0.000596238 0.527535883 -0.517045773 -0.442447893 0.508536549
173373.463447034 0.001905791 0.002179155 -0.000673400 0.519486511 -0.511179336 -0.452730287 0.513677660
173373.496780983 0.001905221 0.001943531 -0.001674952 0.506668749 -0.502481902 -0.466931416 0.522277484
173373.530114932 0.001573828 0.001576655 -0.002891842 0.490015201 -0.488432524 -0.489151866 0.531083068
173373.563448882 0.000411891 0.001191399 -0.003702711 0.462965782 -0.469767797 -0.518675415 0.544019039
173373.596782831 -0.003221222 0.001356430 -0.003125501 0.424327897 -0.442300008 -0.545221986 0.571882439
173373.630116780 -0.012555309 0.002469407 -0.000603684 0.363840601 -0.401490569 -0.572826338 0.615057173
173373.663450729 -0.028790389 0.005316087 0.005753848 0.285084918 -0.346133311 -0.589573408 0.671804672
173373.696784678 -0.048501405 0.011396392 0.019015713 0.205201118 -0.286544129 -0.597747814 0.720057299
173373.730118628 -0.067197283 0.022067145 0.038845481 0.146367847 -0.238872219 -0.609544059 0.741601346
173373.763452577 -0.081910649 0.037393532 0.062773897 0.120658092 -0.218670575 -0.635654071 0.730457874
173373.796786526 -0.090984195 0.055694172 0.087577530 0.129369160 -0.230871613 -0.675464341 0.688265822
173373.830120475 -0.056143982 0.036491315 0.113814002 0.166396725 -0.261270324 -0.720207071 0.620767043
173373.863454424 -0.111649569 0.031272692 0.136400835 0.211322240 -0.299575904 -0.743223054 0.559657645
173373.896788374 -0.105692455 0.053882481 0.157188474 0.249957388 -0.338554909 -0.757983119 0.498360782
173373.930122323 -0.092261205 0.082434835 0.195227691 0.293477910 -0.384855436 -0.758062904 0.437147165
173373.963456272 -0.087066055 0.090691573 0.228629179 0.328292705 -0.423926587 -0.739210980 0.407525797
173373.996790221 -0.093433142 0.096714739 0.265206081 0.345399475 -0.454257877 -0.706205378 0.419073917
173374.030124171 -0.093935221 0.105234317 0.287748594 0.342928002 -0.477650988 -0.664405986 0.461318333
173374.063458120 -0.105621651 0.114097333 0.317822508 0.324128868 -0.493753118 -0.618893042 0.517802798
173374.096792069 -0.122224110 0.134338693 0.355044331 0.292772389 -0.502392786 -0.576379163 0.574171470
173374.130126018 -0.138581234 0.147991952 0.379579851 0.267296834 -0.507085383 -0.539098540 0.617081503
173374.163459967 -0.160127634 0.163665699 0.391895033 0.263438181 -0.511373021 -0.520523384 0.630993949
173374.196793917 -0.182120691 0.201664434 0.404059584 0.273881983 -0.511963102 -0.536410712 0.612491624
173374.230127866 -0.200587361 0.231304303 0.401141262 0.306959818 -0.509176470 -0.557496538 0.579407113
173374.263461815 -0.223721505 0.261921067 0.391572017 0.336125451 -0.500607385 -0.579734345 0.548014614
173374.296795764 -0.251929096 0.292338102 0.380524194 0.352298741 -0.480335150 -0.599998041 0.534009449
173374.330129713 -0.277023243 0.311779616 0.366585598 0.355441685 -0.458943147 -0.613757112 0.535102423
173374.363463663 -0.309774222 0.330766784 0.354132249 0.355057558 -0.431002640 -0.627196794 0.542950307
173374.396797612 -0.337646175 0.350233011 0.334758442 0.361560593 -0.406343378 -0.644404790 0.537495548
173374.430131561 -0.367626438 0.371298647 0.315223238 0.374934598 -0.383976297 -0.669761634 0.513230557
173374.463465510 -0.398909091 0.391893012 0.294337211 0.385852726 -0.361183134 -0.702408289 0.476746277
173374.496799460 -0.431006051 0.412154387 0.272384509 0.385772492 -0.340191487 -0.740195507 0.433081919
173374.530133409 -0.464122751 0.423657082 0.251133157 0.371164543 -0.317438878 -0.764487291 0.420747694
173374.563467358 -0.488110539 0.435096211 0.238597469 0.350242446 -0.302699556 -0.763090607 0.450994382
173374.596801307 -0.500620934 0.446484630 0.227180886 0.352938984 -0.288174964 -0.742410516 0.491137343
173374.630135256 -0.509098094 0.458647884 0.215372835 0.363365141 -0.284311380 -0.731936679 0.501399553
173374.663469206 -0.516050157 0.471634901 0.204515518 0.380311730 -0.287785227 -0.733054992 0.484946420
173374.696803155 -0.528903977 0.473772954 0.197484757 0.403140130 -0.289915069 -0.732514035 0.465672070
173374.730137104 -0.536623114 0.473809382 0.191685320 0.420205056 -0.294606861 -0.734891119 0.443361649
173374.763471053 -0.550067832 0.468033581 0.186388144 0.435546432 -0.304480742 -0.738937177 0.414201198
173374.796805002 -0.558976879 0.465785260 0.183800614 0.454552688 -0.315619238 -0.730434056 0.400290444
173374.830138952 -0.564398454 0.458872988 0.181634938 0.484566459 -0.321816938 -0.701511841 0.411716337
173374.863472901 -0.568328597 0.455340097 0.178261661 0.512307501 -0.325721810 -0.682606925 0.406809677
173374.896806850 -0.574412165 0.449350774 0.177041982 0.535791233 -0.329362286 -0.661741893 0.408100363
173374.930140799 -0.573528685 0.445870229 0.174733768 0.553587584 -0.332767126 -0.645379751 0.407788920
173374.963474749 -0.570316429 0.440109460 0.172674709 0.572137126 -0.336779296 -0.632750480 0.398579534
173374.996808698 -0.563079003 0.434525259 0.175524243 0.591401343 -0.345091448 -0.623280226 0.377727552
173375.030142647 -0.555813853 0.425736055 0.179867769 0.609731669 -0.360320793 -0.614914118 0.346809524
173375.063476596 -0.549033403 0.415356399 0.185033376 0.624079964 -0.378274308 -0.606528730 0.315524399
173375.096810545 -0.540599918 0.404682349 0.191475715 0.635944426 -0.399737485 -0.592610793 0.290855769
173375.130144495 -0.531303001 0.395655900 0.198514535 0.643908275 -0.422746868 -0.578535755 0.268260319
173375.163478444 -0.520439603 0.388541012 0.206276586 0.648702368 -0.446690603 -0.564084909 0.247913207
173375.196812393 -0.509714487 0.383212553 0.213817463 0.653158833 -0.467170002 -0.547664690 0.234944919
173375.230146342 -0.499667675 0.380068971 0.219661678 0.656463525 -0.469041239 -0.542844398 0.233186439
173375.263480291 -0.487412479 0.379325120 0.222637543 0.663044626 -0.460092341 -0.539460894 0.240143303
173375.296814241 -0.474203616 0.379517380 0.225994534 0.671789301 -0.453838117 -0.529272153 0.250202090
173375.330148190 -0.460219787 0.380120865 0.228747543 0.678796043 -0.454858430 -0.512428388 0.264115291
173375.363482139 -0.445882316 0.381035349 0.231169944 0.678371523 -0.462462226 -0.497392420 0.280252650
173375.396816088 -0.430460677 0.381292904 0.232581980 0.670823047 -0.479213041 -0.481039734 0.298248346
173375.430150038 -0.415056322 0.382121810 0.235648101 0.658676521 -0.500632090 -0.463700067 0.317009461
173375.463483987 -0.400395512 0.382373681 0.239171785 0.641089661 -0.531158719 -0.442540283 0.333215485
173375.496817936 -0.385710782 0.382718055 0.245227293 0.622659856 -0.559900761 -0.421323876 0.348270057
173375.530151885 -0.374433402 0.385243633 0.253377349 0.611298097 -0.572979021 -0.411387758 0.358845078
173375.563485834 -0.365067749 0.389097868 0.263781589 0.603580401 -0.574185879 -0.414263870 0.366587946
173375.596819784 -0.359443263 0.393302281 0.273794093 0.593471745 -0.568034107 -0.424165846 0.381066761
173375.630153733 -0.357495074 0.396761624 0.285788754 0.581206099 -0.559696087 -0.437813114 0.396559501
173375.663487682 -0.357631903 0.399993404 0.301329504 0.573070026 -0.549119930 -0.453265144 0.405720049
173375.696821631 -0.359884758 0.404325787 0.320107495 0.568933261 -0.538211870 -0.467189398 0.410337659
173375.730155580 -0.363429430 0.407199893 0.341539021 0.567321460 -0.532879788 -0.473986655 0.411730669
173375.763489530 -0.368020197 0.407091908 0.365406963 0.569312102 -0.533317894 -0.473750279 0.408676434
173375.796823479 -0.372728629 0.406504569 0.389947714 0.574178373 -0.537340770 -0.469988357 0.400867854
173375.830157428 -0.377363330 0.405109252 0.414422816 0.581999016 -0.544772384 -0.461092483 0.389735701
173375.863491377 -0.383627396 0.402543657 0.436990515 0.592152053 -0.551932068 -0.449631950 0.377568600
173375.896825327 -0.389280599 0.399951627 0.458821784 0.602890879 -0.556395387 -0.438073994 0.367475086
173375.930159276 -0.396176624 0.396062202 0.477841489 0.613141872 -0.558386125 -0.428466708 0.358717523
173375.963493225 -0.403809207 0.391842592 0.494676684 0.621053443 -0.561029014 -0.419383743 0.351648038
173375.996827174 -0.412076009 0.386217813 0.510684036 0.627223139 -0.568532625 -0.406190327 0.344051168
173376.030161123 -0.418992017 0.379139556 0.526438201 0.631887192 -0.579741038 -0.390648481 0.334682940
173376.063495073 -0.426148505 0.372307399 0.539452234 0.634541593 -0.590696009 -0.375989870 0.327210649
173376.096829022 -0.434146046 0.363406628 0.549345701 0.635929343 -0.596953317 -0.367053934 0.323283186
173376.130162971 -0.442604016 0.354469995 0.557211344 0.636580534 -0.600878962 -0.363451173 0.318767849
173376.163496920 -0.448619409 0.344713839 0.565489345 0.637438385 -0.606851786 -0.357893295 0.311954492
173376.196830869 -0.453251874 0.335829866 0.573522654 0.638521963 -0.613270326 -0.350181481 0.305879291
173376.230164819 -0.456757820 0.329897019 0.580689746 0.642701365 -0.616080818 -0.341547879 0.301204959
173376.263498768 -0.458334145 0.325812018 0.586135519 0.649663196 -0.610975971 -0.335099112 0.303899127
173376.296832717 -0.458479079 0.324810322 0.588817740 0.655645446 -0.598904393 -0.332819841 0.317290923
