# timestamp tx ty tz qx qy qz qw
173373.363445186 -0.002180882 -0.002673291 0.000506699 0.679025099 0.053817095 -0.732133654 0.002991427
173373.396779135 -0.002015152 -0.002539994 0.000851545 0.675822731 0.053206231 -0.735137479 0.002370571
173373.430113085 -0.002026444 -0.002120836 0.000463478 0.677521460 0.050945475 -0.733730722 0.002908013
173373.463447034 -0.002125421 -0.001442640 -0.000821817 0.688376071 0.047392935 -0.723802879 0.001298756
173373.496780983 -0.002159130 -0.001059153 -0.001836959 -0.704406182 -0.043563542 0.708456957 0.001699325
173373.530114932 -0.001864155 -0.000535860 -0.003049773 -0.726245685 -0.034227122 0.686572711 0.003690746
173373.563448882 -0.000751774 0.000007903 -0.003818959 -0.756091215 -0.022743103 0.653997597 0.009796377
173373.596782831 0.002798559 -0.000003556 -0.003119687 -0.794197200 -0.024016460 0.606924348 0.017800347
173373.630116780 0.011990798 -0.000968955 -0.000318044 -0.843606086 -0.035529757 0.534844537 0.031744746
173373.663450729 0.027971909 -0.003690522 0.006522119 -0.894632208 -0.064394649 0.439509419 0.048145726
173373.696784678 0.047246509 -0.009709319 0.020432333 -0.933547658 -0.093214540 0.340470153 0.062288801
173373.730118628 0.065307285 -0.020407274 0.041012418 -0.956465333 -0.100371727 0.264913775 0.070144669
173373.763452577 0.079208104 -0.035852326 0.065752225 -0.966946571 -0.074097778 0.232375042 0.074334967
173373.796786526 0.087334880 -0.054350091 0.091414094 -0.965720729 -0.016017899 0.247249272 0.077425437
173373.830120475 0.089049384 -0.073680122 0.116566556 -0.948862599 0.062329700 0.299698134 0.077173861
173373.863454424 0.085702213 -0.091977843 0.143922790 -0.914906075 0.142479411 0.369970814 0.075947930
173373.896788374 0.080664482 -0.107545060 0.175628671 -0.871270985 0.203373093 0.440261334 0.075473266
173373.930122323 0.075928821 -0.061959475 0.212181922 -0.830987466 0.233458339 0.499909083 0.071048881
173373.963456272 -0.090377882 -0.088379307 0.252923730 -0.813701064 0.219597937 0.532148167 0.080533552
173373.996790221 0.090302115 0.021376194 0.268305337 -0.801895873 0.190249306 0.559229150 0.089615668
173374.030124171 0.101692823 0.028359752 0.302322556 -0.809408575 0.117634388 0.565235494 0.107371996
173374.063458120 0.113288654 0.030219076 0.333108743 -0.819743887 0.041416473 0.555621653 0.132624336
173374.096792069 0.127285825 0.028471563 0.358705999 -0.826519820 -0.019824034 0.540673862 0.155382656
173374.130126018 0.142920028 0.022522181 0.377356927 -0.826377098 -0.049169985 0.535667645 0.166563440
173374.163459967 0.159921817 0.013042995 0.387982016 -0.821791810 -0.040901616 0.544828236 0.161701800
173374.196793917 0.177970862 0.001203897 0.391435029 -0.814507458 -0.006236871 0.562768300 0.140820961
173374.230127866 0.198512368 -0.011909823 0.390757352 -0.807955790 0.034474086 0.576091911 0.118899490
173374.263461815 0.221679608 -0.024474151 0.386731449 -0.810519793 0.064246761 0.574229602 0.095866484
173374.296795764 0.246812553 -0.035060396 0.380008672 -0.820136288 0.078421093 0.561789730 0.074959319
173374.330129713 0.274078759 -0.043691309 0.371150443 -0.833959197 0.084666801 0.542247951 0.057539117
173374.363463663 0.301785072 -0.050862192 0.359314009 -0.844879671 0.096159479 0.525083391 0.034916031
173374.396797612 0.329260974 -0.056912744 0.344342210 -0.847283500 0.126598266 0.515750684 0.009207691
173374.430131561 0.357351134 -0.061269109 0.327218723 0.844344820 -0.172198769 -0.507123752 0.015965860
173374.463465510 0.386618975 -0.062964671 0.308622070 0.838646755 -0.227313827 -0.493761003 0.034642702
173374.496799460 0.415469428 -0.059663521 0.289709317 0.840508304 -0.268316519 -0.468550154 0.044864128
173374.530133409 0.438059277 -0.051215025 0.277101416 0.859107347 -0.258900727 -0.439387054 0.042941776
173374.563467358 0.448326018 -0.041771429 0.268490662 0.876083939 -0.216085149 -0.427780581 0.052800707
173374.596801307 0.452158085 -0.031325206 0.258317037 0.880713231 -0.190115030 -0.428635343 0.066874681
173374.630135256 0.455425843 -0.019426905 0.249998771 0.873004384 -0.197125689 -0.439478460 0.076573436
173374.663469206 0.458349404 -0.002896592 0.242530035 0.859581132 -0.212722213 -0.455898720 0.089587356
173374.696803155 0.461866594 0.019570142 0.235802147 0.845264131 -0.228650663 -0.472616392 0.099404068
173374.730137104 0.483046738 0.084318217 0.243152656 0.825359228 -0.252760211 -0.492180163 0.112486033
173374.763471053 0.488253080 0.116787835 0.239602386 0.806967023 -0.273344247 -0.510910410 0.114270289
173374.796805002 0.484474673 0.148573595 0.239298116 0.795785221 -0.250122360 -0.536728853 0.126833848
173374.830138952 0.478564554 0.180421451 0.237986954 0.779583472 -0.240075915 -0.560498230 0.143020626
173374.863472901 0.471377115 0.214028932 0.237256142 0.765479739 -0.231078632 -0.580067960 0.155449659
173374.896806850 0.461461282 0.249770705 0.236730293 0.753999236 -0.220358279 -0.596188795 0.165789933
173374.930140799 0.448232865 0.287720172 0.237285070 0.740736336 -0.216437251 -0.611492207 0.174762347
173374.963474749 0.431534025 0.327805481 0.239911223 0.721656301 -0.224025482 -0.629210877 0.181984721
173374.996808698 0.412097487 0.370976602 0.244687717 0.695974509 -0.239567903 -0.651612713 0.183378228
173375.030142647 0.391633884 0.417069601 0.250321745 0.668379178 -0.259729235 -0.673628620 0.178981792
173375.063476596 0.369588747 0.465409937 0.256484589 0.642109898 -0.271483177 -0.696427793 0.170235401
173375.096810545 0.346763417 0.514893699 0.263265708 0.617081907 -0.279148945 -0.718560709 0.157975614
173375.130144495 0.322975669 0.564782875 0.270408107 0.593443363 -0.285162960 -0.738738816 0.144125025
173375.163478444 0.298446239 0.614725049 0.277948569 0.571619365 -0.284887239 -0.758378044 0.130204855
173375.196812393 0.274046182 0.662493448 0.283623175 0.562954843 -0.283146099 -0.766192374 0.125934023
173375.230146342 0.248252089 0.708325314 0.286799649 0.564740841 -0.278611945 -0.764783937 0.136193601
173375.263480291 0.220537669 0.754245863 0.289148117 0.565891322 -0.267505101 -0.765559600 0.148749894
173375.296814241 0.191142056 0.801510640 0.291330914 0.564388570 -0.248138203 -0.771729474 0.155969848
173375.330148190 0.160961017 0.849902646 0.292390698 0.566289201 -0.226715448 -0.777029883 0.155374410
173375.363482139 -0.037495053 0.796483583 0.329951979 0.581859813 -0.202764276 -0.776962943 0.129051897
173375.396816088 -0.078290899 0.842816972 0.330516865 0.586864202 -0.177732820 -0.782210950 0.110215624
173375.430150038 -0.047340906 0.776747958 0.345602249 0.584276919 -0.144651443 -0.795404418 0.070910176
173375.463483987 -0.085579608 0.820491750 0.350304583 0.582798946 -0.117056388 -0.803306480 0.036631809
173375.496817936 -0.122558338 0.863145851 0.357295837 0.583451169 -0.097625704 -0.806121014 0.014928716
173375.530151885 0.039011884 0.982332950 0.338984008 0.577040503 -0.093746334 -0.811189923 0.014380261
173375.563485834 0.015581507 1.028253891 0.349131476 0.592006314 -0.092089296 -0.800553204 0.012753537
173375.596819784 -0.005236767 1.074690839 0.360640221 0.611957180 -0.089333915 -0.785745303 0.011497011
173375.630153733 -0.024264843 1.122441697 0.375438414 0.630336939 -0.093001706 -0.770627099 0.012645174
173375.663487682 -0.041696432 1.171492129 0.393895077 0.644039521 -0.100329455 -0.758160697 0.018424267
173375.696821631 -0.058390371 1.223282847 0.415308112 0.651822231 -0.105907238 -0.750604251 0.022465412
173375.730155580 -0.075256953 1.278641046 0.438999652 0.651788108 -0.108828419 -0.750166645 0.024054985
173375.763489530 -0.117816075 1.342859903 0.456827622 0.647049198 -0.111980672 -0.753742844 0.025678569
173375.796823479 -0.135769833 1.404329105 0.481479668 0.634912434 -0.115088410 -0.763553956 0.025024300
173375.830157428 -0.153525200 1.467731824 0.504943085 0.619225608 -0.117334543 -0.775984900 0.025292037
173375.863491377 -0.170863779 1.532959804 0.526431536 0.603852794 -0.118434148 -0.787752033 0.027962296
173375.896825327 -0.187204309 1.599991323 0.545414345 0.590425088 -0.118877948 -0.797612041 0.032882839
173375.930159276 -0.202734241 1.668860468 0.561687390 0.579462340 -0.119663145 -0.805300521 0.037352369
173375.963493225 -0.218388532 1.739801983 0.576528377 0.566949846 -0.117689183 -0.814454438 0.037163108
173375.996827174 -0.234714914 1.813556577 0.590366670 0.550859581 -0.114304826 -0.826089246 0.032629526
173376.030161123 -0.251441705 1.889878322 0.601740864 0.535438516 -0.110597236 -0.836879007 0.026596517
173376.063495073 -0.268735941 1.968030563 0.609558185 0.525309879 -0.106959456 -0.843878617 0.021865193
173376.096829022 -0.287385033 2.047825190 0.614558364 0.520297142 -0.107676968 -0.846933863 0.019989655
173376.130162971 -0.308230657 2.129607259 0.618588366 0.513221722 -0.109583250 -0.851072388 0.016454955
173376.163496920 -0.331232120 2.212494977 0.622079210 0.504352388 -0.109556611 -0.856432159 0.012246409
173376.196830869 -0.356441383 2.295411167 0.624797860 0.495426085 -0.108376989 -0.861791502 0.011082848
173376.230164819 -0.384288877 2.376941717 0.625896688 0.489962928 -0.104488392 -0.865273709 0.017886101
173376.263498768 -0.414594905 2.456633772 0.624303506 0.494686773 -0.095878980 -0.863209174 0.031018374
173376.296832717 -0.447189840 2.535101900 0.620361240 0.506167880 -0.085021218 -0.857003515 0.045939584
173376.330166666 -0.482291654 2.613169460 0.615268745 0.518163480 -0.073446250 -0.850205962 0.057114604
173376.363500616 -0.519904700 2.691706531 0.609822654 0.526929588 -0.063153390 -0.845136788 0.064036466
173376.396834565 -0.560013901 2.771071327 0.604128958 0.533045637 -0.054666637 -0.841670747 0.066815129
173376.430168514 -0.602546733 2.850628658 0.597266964 0.540952845 -0.045125486 -0.837316859 0.065070635
173376.463502463 -0.647880492 2.931754743 0.589909141 0.548179831 -0.038776572 -0.833298925 0.060067901
173376.496836412 -0.680670613 3.054607472 0.595062022 0.550816368 -0.038822122 -0.832178624 0.050723848
173376.530170362 -0.731937954 3.141159333 0.588387837 0.554542925 -0.034912652 -0.830380293 0.041615133
173376.563504311 -0.786566432 3.229774380 0.580172246 0.561817463 -0.033089947 -0.825916568 0.033585968
173376.596838260 -0.844001179 3.320761432 0.570679760 0.573742796 -0.034833982 -0.817799114 0.028467662
173376.630172209 -0.891378054 3.433946267 0.563907149 0.582827088 -0.040256299 -0.811106708 0.028247541
173376.663506158 -0.955282463 3.529770171 0.555472236 0.586665043 -0.042848048 -0.808179316 0.028885396
173376.696840108 -1.031625375 3.617581468 0.543006315 0.587049441 -0.043668654 -0.807984886 0.025028501
173376.730174057 -1.099097512 3.718076797 0.534337211 0.584965926 -0.045073790 -0.809624703 0.017060467
173376.763508006 -1.167304873 3.820699096 0.525000892 0.581133435 -0.045768192 -0.812489507 0.007071356
173376.796841955 -1.235150984 3.925570053 0.514280725 0.578808957 -0.048253784 -0.814033476 0.001124356
173376.830175905 -1.302100650 4.033022713 0.502074557 -0.578653626 0.052453454 0.813881499 0.002349912
173376.863509854 -1.367237746 4.143743851 0.489169265 -0.577758392 0.055928142 0.814246563 0.008355659
173376.896843803 -1.429612122 4.257796714 0.475399573 -0.576653435 0.060452099 0.814558927 0.017610065
173376.930177752 -1.489153511 4.374043491 0.460011630 -0.578019021 0.066796424 0.812798844 0.028112053
173376.963511701 -1.545665609 4.491838211 0.442998553 -0.583097005 0.076372746 0.807963701 0.036874722
173376.996845651 -1.561973258 4.560229854 0.419248952 -0.588122353 0.086010671 0.802973343 0.044136978
173377.030179600 -1.612023853 4.679389434 0.402245354 -0.592376780 0.097066732 0.798182142 0.050725422
173377.063513549 -1.658977958 4.799752753 0.385950280 -0.596348384 0.106392290 0.793748950 0.054880691
173377.096847498 -1.702762096 4.921151089 0.370421726 -0.600205226 0.114262333 0.789548866 0.057536020
173377.130181447 -1.743077303 5.042735586 0.355633470 -0.604499868 0.120139561 0.785490812 0.056130018
