#seq,cam,ts_ns,file
0,0,172127654903000,c0_000000.gray
0,2,172127654942000,c2_000000.gray
1,0,172127673891000,c0_000001.gray
1,2,172127673922000,c2_000001.gray
2,0,172127688227000,c0_000002.gray
2,2,172127688258000,c2_000002.gray
3,0,172127707225000,c0_000003.gray
3,2,172127707258000,c2_000003.gray
4,0,172127721591000,c0_000004.gray
4,2,172127721624000,c2_000004.gray
5,0,172127740560000,c0_000005.gray
5,2,172127740593000,c2_000005.gray
6,0,172127754896000,c0_000006.gray
6,2,172127754930000,c2_000006.gray
7,0,172127773892000,c0_000007.gray
7,2,172127773924000,c2_000007.gray
8,0,172127940560000,c0_000008.gray
8,2,172127940588000,c2_000008.gray
9,0,172127954903000,c0_000009.gray
9,2,172127954943000,c2_000009.gray
10,0,172127973900000,c0_000010.gray
10,2,172127973936000,c2_000010.gray
11,0,172127988236000,c0_000011.gray
11,2,172127988275000,c2_000011.gray
12,0,172128007231000,c0_000012.gray
12,2,172128007266000,c2_000012.gray
13,0,172128021565000,c0_000013.gray
13,2,172128021600000,c2_000013.gray
15,0,172128040575000,c0_000015.gray
15,2,172128040610000,c2_000015.gray
18,0,172128054901000,c0_000018.gray
18,2,172128054936000,c2_000018.gray
23,0,172128073909000,c0_000023.gray
23,2,172128073946000,c2_000023.gray
26,0,172128088235000,c0_000026.gray
26,2,172128088272000,c2_000026.gray
30,0,172128107232000,c0_000030.gray
30,2,172128107268000,c2_000030.gray
32,0,172128121566000,c0_000032.gray
32,2,172128121602000,c2_000032.gray
37,0,172128140560000,c0_000037.gray
37,2,172128140593000,c2_000037.gray
39,0,172128154902000,c0_000039.gray
39,2,172128154940000,c2_000039.gray
44,0,172128173906000,c0_000044.gray
44,2,172128173940000,c2_000044.gray
46,0,172128188237000,c0_000046.gray
46,2,172128188278000,c2_000046.gray
50,0,172128207225000,c0_000050.gray
50,2,172128207249000,c2_000050.gray
53,0,172128221570000,c0_000053.gray
53,2,172128221606000,c2_000053.gray
57,0,172128240565000,c0_000057.gray
57,2,172128240603000,c2_000057.gray
60,0,172128254903000,c0_000060.gray
60,2,172128254940000,c2_000060.gray
64,0,172128273903000,c0_000064.gray
64,2,172128273939000,c2_000064.gray
66,0,172128288237000,c0_000066.gray
66,2,172128288275000,c2_000066.gray
71,0,172128307271000,c0_000071.gray
71,2,172128307306000,c2_000071.gray
73,0,172128321569000,c0_000073.gray
73,2,172128321603000,c2_000073.gray
77,0,172128340563000,c0_000077.gray
77,2,172128340597000,c2_000077.gray
80,0,172128354902000,c0_000080.gray
80,2,172128354937000,c2_000080.gray
84,0,172128373897000,c0_000084.gray
84,2,172128373931000,c2_000084.gray
87,0,172128388233000,c0_000087.gray
87,2,172128388267000,c2_000087.gray
91,0,172128407267000,c0_000091.gray
91,2,172128407301000,c2_000091.gray
93,0,172128421569000,c0_000093.gray
93,2,172128421605000,c2_000093.gray
97,2,172128440597000,c2_000097.gray
98,0,172128440563000,c0_000098.gray
100,0,172128454902000,c0_000100.gray
100,2,172128454940000,c2_000100.gray
104,0,172128473901000,c0_000104.gray
104,2,172128473937000,c2_000104.gray
107,0,172128488238000,c0_000107.gray
107,2,172128488283000,c2_000107.gray
111,0,172128507234000,c0_000111.gray
111,2,172128507272000,c2_000111.gray
113,0,172128521573000,c0_000113.gray
113,2,172128521609000,c2_000113.gray
117,0,172128540568000,c0_000117.gray
117,2,172128540614000,c2_000117.gray
119,0,172128554905000,c0_000119.gray
119,2,172128554942000,c2_000119.gray
123,0,172128573900000,c0_000123.gray
123,2,172128573935000,c2_000123.gray
125,0,172128588238000,c0_000125.gray
125,2,172128588275000,c2_000125.gray
129,0,172128607236000,c0_000129.gray
129,2,172128607273000,c2_000129.gray
131,0,172128621574000,c0_000131.gray
131,2,172128621614000,c2_000131.gray
135,0,172128640571000,c0_000135.gray
135,2,172128640610000,c2_000135.gray
137,0,172128654910000,c0_000137.gray
137,2,172128654949000,c2_000137.gray
139,0,172128673904000,c0_000139.gray
139,2,172128673941000,c2_000139.gray
141,0,172128688242000,c0_000141.gray
141,2,172128688282000,c2_000141.gray
145,0,172128707235000,c0_000145.gray
145,2,172128707273000,c2_000145.gray
147,0,172128721575000,c0_000147.gray
147,2,172128721613000,c2_000147.gray
151,0,172128740573000,c0_000151.gray
151,2,172128740611000,c2_000151.gray
153,0,172128754967000,c0_000153.gray
153,2,172128755005000,c2_000153.gray
157,0,172128773904000,c0_000157.gray
157,2,172128773944000,c2_000157.gray
158,0,172128788242000,c0_000158.gray
158,2,172128788281000,c2_000158.gray
162,0,172128807233000,c0_000162.gray
162,2,172128807271000,c2_000162.gray
164,0,172128821574000,c0_000164.gray
164,2,172128821612000,c2_000164.gray
168,0,172128840598000,c0_000168.gray
168,2,172128840638000,c2_000168.gray
170,0,172128854909000,c0_000170.gray
170,2,172128854949000,c2_000170.gray
174,0,172128873935000,c0_000174.gray
174,2,172128873971000,c2_000174.gray
176,0,172128888246000,c0_000176.gray
176,2,172128888288000,c2_000176.gray
180,0,172128907236000,c0_000180.gray
180,2,172128907275000,c2_000180.gray
182,0,172128921580000,c0_000182.gray
182,2,172128921620000,c2_000182.gray
186,0,172128940564000,c0_000186.gray
186,2,172128940599000,c2_000186.gray
188,0,172128954906000,c0_000188.gray
188,2,172128954940000,c2_000188.gray
192,0,172128973900000,c0_000192.gray
192,2,172128973935000,c2_000192.gray
195,0,172128988241000,c0_000195.gray
195,2,172128988279000,c2_000195.gray
199,0,172129007233000,c0_000199.gray
199,2,172129007267000,c2_000199.gray
201,0,172129021570000,c0_000201.gray
201,2,172129021606000,c2_000201.gray
206,0,172129040569000,c0_000206.gray
206,2,172129040604000,c2_000206.gray
208,0,172129054908000,c0_000208.gray
208,2,172129054945000,c2_000208.gray
213,0,172129073913000,c0_000213.gray
213,2,172129073938000,c2_000213.gray
215,0,172129088244000,c0_000215.gray
215,2,172129088284000,c2_000215.gray
219,0,172129107247000,c0_000219.gray
219,2,172129107284000,c2_000219.gray
222,0,172129121576000,c0_000222.gray
222,2,172129121612000,c2_000222.gray
226,0,172129140573000,c0_000226.gray
226,2,172129140610000,c2_000226.gray
229,0,172129154906000,c0_000229.gray
229,2,172129154942000,c2_000229.gray
233,0,172129173917000,c0_000233.gray
233,2,172129173943000,c2_000233.gray
235,0,172129188243000,c0_000235.gray
235,2,172129188280000,c2_000235.gray
239,0,172129207252000,c0_000239.gray
239,2,172129207286000,c2_000239.gray
242,0,172129221575000,c0_000242.gray
242,2,172129221612000,c2_000242.gray
246,0,172129240566000,c0_000246.gray
246,2,172129240592000,c2_000246.gray
249,0,172129254910000,c0_000249.gray
249,2,172129254945000,c2_000249.gray
253,0,172129273904000,c0_000253.gray
253,2,172129273942000,c2_000253.gray
255,0,172129288244000,c0_000255.gray
255,2,172129288283000,c2_000255.gray
260,0,172129307236000,c0_000260.gray
260,2,172129307269000,c2_000260.gray
262,0,172129321573000,c0_000262.gray
262,2,172129321609000,c2_000262.gray
267,0,172129340573000,c0_000267.gray
267,2,172129340608000,c2_000267.gray
269,0,172129354909000,c0_000269.gray
269,2,172129354946000,c2_000269.gray
273,0,172129373902000,c0_000273.gray
273,2,172129373936000,c2_000273.gray
275,2,172129388283000,c2_000275.gray
276,0,172129388244000,c0_000276.gray
280,0,172129407238000,c0_000280.gray
280,2,172129407272000,c2_000280.gray
282,0,172129421576000,c0_000282.gray
282,2,172129421611000,c2_000282.gray
287,0,172129440571000,c0_000287.gray
287,2,172129440605000,c2_000287.gray
289,0,172129454910000,c0_000289.gray
289,2,172129454948000,c2_000289.gray
293,0,172129473904000,c0_000293.gray
293,2,172129473936000,c2_000293.gray
296,0,172129488242000,c0_000296.gray
296,2,172129488270000,c2_000296.gray
300,0,172129507240000,c0_000300.gray
300,2,172129507275000,c2_000300.gray
302,2,172129521613000,c2_000302.gray
303,0,172129521577000,c0_000303.gray
307,0,172129540578000,c0_000307.gray
307,2,172129540618000,c2_000307.gray
309,0,172129554910000,c0_000309.gray
309,2,172129554947000,c2_000309.gray
314,0,172129573906000,c0_000314.gray
314,2,172129573942000,c2_000314.gray
316,0,172129588245000,c0_000316.gray
316,2,172129588279000,c2_000316.gray
320,0,172129607241000,c0_000320.gray
320,2,172129607278000,c2_000320.gray
323,0,172129621581000,c0_000323.gray
323,2,172129621619000,c2_000323.gray
327,0,172129640577000,c0_000327.gray
327,2,172129640615000,c2_000327.gray
330,0,172129654953000,c0_000330.gray
330,2,172129654981000,c2_000330.gray
334,0,172129673910000,c0_000334.gray
334,2,172129673946000,c2_000334.gray
336,0,172129688244000,c0_000336.gray
336,2,172129688282000,c2_000336.gray
340,0,172129707242000,c0_000340.gray
340,2,172129707276000,c2_000340.gray
343,0,172129721624000,c0_000343.gray
343,2,172129721648000,c2_000343.gray
347,0,172129740569000,c0_000347.gray
347,2,172129740593000,c2_000347.gray
349,0,172129754967000,c0_000349.gray
349,2,172129755005000,c2_000349.gray
354,0,172129773909000,c0_000354.gray
354,2,172129773945000,c2_000354.gray
356,0,172129788249000,c0_000356.gray
356,2,172129788288000,c2_000356.gray
361,0,172129807239000,c0_000361.gray
361,2,172129807272000,c2_000361.gray
363,0,172129821578000,c0_000363.gray
363,2,172129821613000,c2_000363.gray
367,0,172129840574000,c0_000367.gray
367,2,172129840608000,c2_000367.gray
370,0,172129854915000,c0_000370.gray
370,2,172129854952000,c2_000370.gray
374,0,172129873909000,c0_000374.gray
374,2,172129873944000,c2_000374.gray
376,0,172129888245000,c0_000376.gray
376,2,172129888282000,c2_000376.gray
381,0,172129907243000,c0_000381.gray
381,2,172129907278000,c2_000381.gray
383,0,172129921580000,c0_000383.gray
383,2,172129921616000,c2_000383.gray
388,0,172129940601000,c0_000388.gray
388,2,172129940634000,c2_000388.gray
390,0,172129954916000,c0_000390.gray
390,2,172129954954000,c2_000390.gray
394,0,172129973909000,c0_000394.gray
394,2,172129973946000,c2_000394.gray
397,0,172129988245000,c0_000397.gray
397,2,172129988281000,c2_000397.gray
401,0,172130007291000,c0_000401.gray
401,2,172130007326000,c2_000401.gray
403,0,172130021581000,c0_000403.gray
403,2,172130021622000,c2_000403.gray
408,0,172130040572000,c0_000408.gray
408,2,172130040597000,c2_000408.gray
410,0,172130054921000,c0_000410.gray
410,2,172130054961000,c2_000410.gray
414,0,172130073913000,c0_000414.gray
414,2,172130073953000,c2_000414.gray
417,0,172130088254000,c0_000417.gray
417,2,172130088293000,c2_000417.gray
421,0,172130107248000,c0_000421.gray
421,2,172130107287000,c2_000421.gray
423,0,172130121584000,c0_000423.gray
423,2,172130121624000,c2_000423.gray
428,0,172130140573000,c0_000428.gray
428,2,172130140601000,c2_000428.gray
430,0,172130154977000,c0_000430.gray
430,2,172130155017000,c2_000430.gray
434,0,172130173912000,c0_000434.gray
434,2,172130173951000,c2_000434.gray
437,0,172130188263000,c0_000437.gray
437,2,172130188303000,c2_000437.gray
441,0,172130207248000,c0_000441.gray
441,2,172130207287000,c2_000441.gray
443,0,172130221579000,c0_000443.gray
443,2,172130221609000,c2_000443.gray
447,2,172130240613000,c2_000447.gray
448,0,172130240576000,c0_000448.gray
450,0,172130254916000,c0_000450.gray
450,2,172130254946000,c2_000450.gray
453,0,172130273916000,c0_000453.gray
453,2,172130273954000,c2_000453.gray
455,0,172130288251000,c0_000455.gray
455,2,172130288291000,c2_000455.gray
459,0,172130307280000,c0_000459.gray
459,2,172130307318000,c2_000459.gray
462,0,172130321581000,c0_000462.gray
462,2,172130321617000,c2_000462.gray
466,0,172130340577000,c0_000466.gray
466,2,172130340611000,c2_000466.gray
468,0,172130354919000,c0_000468.gray
468,2,172130354956000,c2_000468.gray
473,0,172130373909000,c0_000473.gray
473,2,172130373945000,c2_000473.gray
475,0,172130388248000,c0_000475.gray
475,2,172130388294000,c2_000475.gray
479,0,172130407247000,c0_000479.gray
479,2,172130407286000,c2_000479.gray
481,0,172130421585000,c0_000481.gray
481,2,172130421621000,c2_000481.gray
486,0,172130440579000,c0_000486.gray
486,2,172130440613000,c2_000486.gray
488,0,172130454913000,c0_000488.gray
488,2,172130454941000,c2_000488.gray
492,0,172130473909000,c0_000492.gray
492,2,172130473944000,c2_000492.gray
495,0,172130488251000,c0_000495.gray
495,2,172130488289000,c2_000495.gray
499,0,172130507248000,c0_000499.gray
499,2,172130507284000,c2_000499.gray
501,0,172130521587000,c0_000501.gray
501,2,172130521625000,c2_000501.gray
505,0,172130540581000,c0_000505.gray
505,2,172130540619000,c2_000505.gray
507,0,172130554919000,c0_000507.gray
507,2,172130554959000,c2_000507.gray
511,0,172130573918000,c0_000511.gray
511,2,172130573958000,c2_000511.gray
513,0,172130588253000,c0_000513.gray
513,2,172130588290000,c2_000513.gray
516,2,172130607284000,c2_000516.gray
517,0,172130607254000,c0_000517.gray
518,0,172130621589000,c0_000518.gray
518,2,172130621626000,c2_000518.gray
522,0,172130640582000,c0_000522.gray
522,2,172130640621000,c2_000522.gray
524,0,172130654921000,c0_000524.gray
524,2,172130654961000,c2_000524.gray
528,0,172130673914000,c0_000528.gray
528,2,172130673952000,c2_000528.gray
530,0,172130688267000,c0_000530.gray
530,2,172130688299000,c2_000530.gray
534,0,172130707253000,c0_000534.gray
534,2,172130707287000,c2_000534.gray
536,0,172130721588000,c0_000536.gray
536,2,172130721628000,c2_000536.gray
540,0,172130740610000,c0_000540.gray
540,2,172130740647000,c2_000540.gray
