# timestamp tx ty tz qx qy qz qw
172139.680244419 0.042996195 0.082669836 -0.051849441 0.815369819 -0.173619681 -0.548941839 0.060754612
172139.713577949 0.065000586 0.082124035 -0.075430367 0.817988606 -0.198123878 -0.536548749 0.061294449
172139.746911480 0.066938398 0.083419186 -0.080063923 0.820347836 -0.205237298 -0.530099050 0.062466609
172139.780245010 0.074387870 0.086377574 -0.096241340 0.829581882 -0.227288740 -0.505724452 0.066155182
172139.813578540 0.082760183 0.086993945 -0.111469111 0.840450942 -0.244469604 -0.478682596 0.068846200
172139.846912070 0.091433785 0.085983634 -0.125416433 0.851517519 -0.256580837 -0.452062343 0.068730095
172139.880245601 0.100371982 0.083303357 -0.137717753 0.863320882 -0.263309298 -0.425435836 0.065951630
172139.913579131 0.108571326 0.078711845 -0.148174199 0.874924483 -0.264660012 -0.400815352 0.061719363
172139.946912661 0.116192913 0.072397166 -0.156836378 0.887004273 -0.260613650 -0.377206911 0.054944449
172139.980246191 0.123350875 0.064421635 -0.164174476 0.899770503 -0.250768688 -0.354214165 0.045391981
172140.013579722 0.129790053 0.054312394 -0.170446753 0.912982349 -0.235634087 -0.331114136 0.036100374
172140.046913252 0.141533455 0.043452075 -0.176489770 0.924369067 -0.217233341 -0.312540151 0.025887384
172140.080246782 0.145022565 0.030232852 -0.180968105 0.934902827 -0.196221039 -0.295423694 0.013373458
172140.113580312 0.145893744 0.015869096 -0.184084546 0.943299002 -0.173774559 -0.282819200 0.001641840
172140.146913843 0.144917487 -0.000740823 -0.186382522 -0.950022072 0.151464286 0.272829973 0.008968744
172140.180247373 0.142487483 -0.020305310 -0.187511901 -0.955293984 0.129841875 0.264995035 0.018224261
172140.213580903 0.138529138 -0.041374820 -0.188117664 -0.959273821 0.107380984 0.259938000 0.026368502
172140.246914433 0.132471732 -0.064354117 -0.187851583 -0.961896133 0.084260443 0.258029012 0.032818213
172140.280247964 0.140294365 -0.076849704 -0.195049681 -0.962337101 0.061524629 0.262357712 0.035922889
172140.313581494 0.130563892 -0.106064868 -0.193997513 -0.962358729 0.038675862 0.265900277 0.040827639
172140.346915024 0.120312848 -0.132954060 -0.192932743 -0.961574969 0.019554742 0.270245834 0.044253586
172140.380248554 0.106109450 -0.164931546 -0.187787559 -0.960789944 0.001887454 0.273287004 0.046833043
172140.413582085 0.114630139 -0.158082033 -0.187307858 -0.958102540 -0.010371629 0.283504141 0.039463332
172140.446915615 0.113801362 -0.186035618 -0.183736104 -0.956552011 -0.025637547 0.287288487 0.042617973
172140.480249145 0.118174446 -0.208396944 -0.195938702 -0.956672710 -0.042806044 0.284485862 0.044863816
172140.513582675 0.113408524 -0.235423000 -0.203577468 -0.958543772 -0.058379350 0.275031049 0.046299147
