# timestamp tx ty tz qx qy qz qw
102.466666666 -0.221160513 -0.097495447 0.053946039 0.026944558 -0.019752203 -0.998798462 0.035853494
102.500000000 -0.235695996 -0.089106960 0.055691305 0.023536331 -0.026913745 -0.998508602 0.041258489
102.533333333 -0.251339544 -0.079633444 0.062027845 0.028658572 -0.027934876 -0.998324725 0.041786038
102.566666666 -0.262267407 -0.082391509 0.064665111 0.030055760 -0.028751694 -0.998181380 0.043633980
102.600000000 -0.276725700 -0.085956408 0.068139483 0.031914891 -0.029818495 -0.997982033 0.046088592
102.633333333 -0.291012888 -0.089385711 0.071555122 0.033763285 -0.030856012 -0.997773963 0.048529025
102.666666666 -0.301080035 -0.102424169 0.078402614 0.036624972 -0.031646027 -0.997504573 0.051398124
102.700000000 -0.314972598 -0.104256616 0.082775070 0.038580338 -0.033005412 -0.997247792 0.054028152
102.733333333 -0.328383037 -0.107739583 0.086257667 0.040489449 -0.034014526 -0.997005942 0.056416022
102.766666666 -0.351139119 -0.136813764 0.082764420 0.043292520 -0.034044772 -0.996889207 0.056379257
102.800000000 -0.363377039 -0.142866587 0.086130863 0.045069585 -0.035039244 -0.996647981 0.058598512
102.833333333 -0.376835533 -0.147740365 0.089029007 0.046929782 -0.036091002 -0.996389738 0.060848376
102.866666666 -0.390155515 -0.152531411 0.091863520 0.048779730 -0.037112441 -0.996124093 0.063087205
102.900000000 -0.377581819 -0.172632381 0.097078938 0.048470453 -0.036611142 -0.995851906 0.067743792
102.933333333 -0.386238446 -0.162925535 0.104294630 0.051388006 -0.036695354 -0.995418771 0.071792710
102.966666666 -0.401381266 -0.168695645 0.107431933 0.053604603 -0.037387788 -0.995094450 0.074268004
103.000000000 -0.414232781 -0.174419256 0.111659868 0.055692229 -0.038289427 -0.994771443 0.076564170
103.033333333 -0.428296102 -0.182998685 0.115211277 0.057790021 -0.039075556 -0.994440785 0.078872935
103.066666666 -0.441930655 -0.187002724 0.117394873 0.059467203 -0.039726618 -0.994106393 0.081473474
103.100000000 -0.456961064 -0.184530780 0.120878141 0.060898898 -0.040081276 -0.993805921 0.083872560
