#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
100000000000,0.00342280644,0.00221848031,-0.00296360437,0.0328065666,-0.025299252,9.82046043
100001000000,0.004045438,0.0021411485,-0.00297677993,0.0618114581,-0.0279430297,9.86352823
100002000000,0.00397420613,0.0019384982,-0.00297372907,0.0479002313,-0.011546615,9.83929564
100003000000,0.0040009891,0.00150260852,-0.00288216198,0.0338261898,-0.0266626005,9.83760014
100004000000,0.00399700638,0.00136775296,-0.00287365497,0.0361564427,-0.0695307245,9.82930425
100005000000,0.00397309608,0.00224366712,-0.002799945,0.0459441857,-0.0122794147,9.86191308
100006000000,0.00362057378,0.00228698017,-0.0027049702,0.0281041703,-0.0184719953,9.82012022
100007000000,0.00432783932,0.00209832346,-0.00245883854,0.0169898792,-0.0444278129,9.81498313
100008000000,0.00384277841,0.00190524792,-0.00268471019,0.0504392472,0.0126328708,9.86005841
100009000000,0.00436474373,0.00184326075,-0.00320685878,0.00718954911,-0.0108144707,9.84006591
100010000000,0.00408324597,0.0018307926,-0.00281207471,0.0453850971,-0.0716335707,9.863759
100011000000,0.00421408638,0.00173007351,-0.00319084666,0.0222375134,-0.00995804294,9.84811148
100012000000,0.00374330286,0.00185200247,-0.00293417212,0.0595975807,-0.0150562433,9.84371741
100013000000,0.00344454704,0.00200159916,-0.00265513324,0.010520657,-0.0207498569,9.84244942
100014000000,0.00382815213,0.00150521693,-0.00299284845,0.0229486845,-0.0234988364,9.8507316
100015000000,0.00402969216,0.00178750802,-0.00319586302,0.0227553694,-0.0304643614,9.868836
100016000000,0.00416962441,0.00185773324,-0.00316674755,0.0554647123,-0.00708624695,9.81801559
100017000000,0.00399337294,0.00217887431,-0.0030350381,0.0479342368,-0.00858614558,9.83294548
100018000000,0.00440972852,0.00181189184,-0.00340325712,0.0365734505,-0.0312841213,9.86732049
100019000000,0.00398323128,0.00205010464,-0.00341978544,0.0223417753,-0.00616021158,9.84990425
100020000000,0.00422276689,0.00181311367,-0.00318234997,0.0292229598,-0.0217273834,9.83642052
100021000000,0.00406439301,0.00210965867,-0.00290553195,0.041174871,-0.00989696633,9.84775003
100022000000,0.00410839232,0.00192468586,-0.00266809182,0.0142023662,-0.00663851292,9.87895819
100023000000,0.00383681586,0.00229006992,-0.00337191394,0.0400614959,-0.0320705566,9.84508183
100024000000,0.00387632627,0.00210821791,-0.00267158073,0.0501277109,-0.0309060863,9.85141956
100025000000,0.00403807294,0.0025326411,-0.00314529682,0.0400764341,-0.0395464183,9.84248963
100026000000,0.00418697391,0.0017192392,-0.00260249885,0.0235515808,-0.0324484502,9.84579762
100027000000,0.00469263593,0.00169990798,-0.0031558977,0.050274801,-0.00706256484,9.85668387
100028000000,0.00395131441,0.00173475951,-0.00326877459,0.0646128964,-0.0397203911,9.85170247
100029000000,0.00416810068,0.00201970239,-0.00299101231,0.0265475922,-0.0156463703,9.85456656
100030000000,0.00423751256,0.0014101018,-0.00284165619,0.0398275513,-0.0302241883,9.82526663
100031000000,0.00375742834,0.00208668843,-0.00327510854,0.0505340651,-0.0401162112,9.81072729
100032000000,0.00421720298,0.00159057884,-0.00312943182,0.0465900137,-0.00967431696,9.8306894
100033000000,0.00442503734,0.00158735045,-0.00208833096,0.0336270913,0.0013226755,9.85934809
100034000000,0.00414567259,0.0023424597,-0.00334990092,0.0157344644,-0.0155783239,9.87183959
100035000000,0.00403080682,0.00190633103,-0.00333286332,0.011791119,-0.0272011316,9.83747126
100036000000,0.00408926492,0.00174291275,-0.00300679638,0.0335293517,-0.0427756549,9.83534087
100037000000,0.0042509338,0.00214002279,-0.00335984329,0.0404807038,0.0039283755,9.86602135
100038000000,0.00395905787,0.00172588108,-0.00312668904,0.0160748055,-0.0342143906,9.83774638
