# timestamp tx ty tz qx qy qz qw
4373.366541531 -0.158996608 -0.042735067 -0.032060904 0.496773220 -0.438072443 -0.518654763 0.540653437
4373.399874803 -0.152280999 -0.026073606 -0.025119192 0.490392670 -0.444699499 -0.514769746 0.544765539
4373.433208074 -0.153196013 -0.017410685 -0.019534911 0.483446628 -0.448253962 -0.520414307 0.542693922
4373.466541346 -0.169411425 -0.017419921 -0.016469110 0.482407439 -0.447423031 -0.521264609 0.543487720
4373.499874617 -0.186323370 -0.018562200 -0.013121647 0.482934055 -0.445442286 -0.522043072 0.543899715
4373.533207888 -0.201944677 -0.019395698 -0.009754427 0.484343507 -0.443523086 -0.522900973 0.543390478
4373.799874060 -0.309061069 -0.033798869 0.052072335 0.488835624 -0.445908402 -0.517376805 0.542703116
4373.833207331 -0.321254761 -0.036409355 0.061977315 0.489658924 -0.446828312 -0.516831291 0.541723190
4373.866540603 -0.327307264 -0.028986242 0.078567081 0.485933125 -0.449874862 -0.518183732 0.541264470
4373.899873874 -0.330104944 -0.021479974 0.094665237 0.482574050 -0.451529051 -0.518625685 0.542467696
4373.933207146 -0.334450643 -0.023546417 0.105113821 0.482050455 -0.450774507 -0.519797576 0.542439105
4373.966540417 -0.336294613 -0.025560513 0.118199571 0.480933698 -0.449039951 -0.522150159 0.542609539
4373.999873688 -0.336964096 -0.027338491 0.129649619 0.479105919 -0.448059375 -0.523259684 0.543966559
4374.033206960 -0.329876436 -0.019721988 0.143037266 0.476013992 -0.447378151 -0.520004778 0.550325812
4374.066540231 -0.336501556 -0.018584117 0.154204821 0.473539815 -0.450262870 -0.521341816 0.548840690
4374.099873503 -0.338199576 -0.016277204 0.165580341 0.471469899 -0.452408130 -0.522969263 0.547308111
4374.133206774 -0.341934996 -0.016770295 0.176728578 0.470696966 -0.453926022 -0.524408204 0.545336197
4374.166540045 -0.344825516 -0.017560444 0.187852718 0.469220254 -0.456494583 -0.525894460 0.543028605
4374.199873317 -0.347494128 -0.017379036 0.198411499 0.468264998 -0.459071924 -0.527085122 0.540520244
4374.233206588 -0.350373661 -0.014585611 0.208924347 0.467218732 -0.461737688 -0.528403938 0.537860802
4374.266539860 -0.351789713 -0.015021529 0.220054010 0.467167028 -0.462954658 -0.529382313 0.535893944
4374.299873131 -0.352797376 -0.015278223 0.231364873 0.466305230 -0.464055989 -0.529515726 0.535560050
4374.333206403 -0.352809394 -0.015177297 0.243913894 0.465529454 -0.464694460 -0.528653942 0.536531822
4374.366539674 -0.351662398 -0.015219447 0.257159518 0.464652295 -0.466261101 -0.526584900 0.537965773
4374.399872945 -0.349271111 -0.015042114 0.271189541 0.464006739 -0.468825747 -0.522951289 0.539835266
4374.433206217 -0.345288328 -0.014831066 0.285089663 0.464786247 -0.471389496 -0.518830018 0.540907663
4374.566539303 -0.324591842 -0.013127842 0.340810264 0.475813851 -0.477796837 -0.505470533 0.538340879
4374.599872574 -0.315964905 -0.012257112 0.354982862 0.477197533 -0.478475925 -0.501736582 0.540003431
4374.633205845 -0.307085093 -0.011886495 0.367903158 0.477772389 -0.478527138 -0.497841937 0.543045789
4374.666539117 -0.298234692 -0.012407580 0.379641826 0.477512531 -0.478247048 -0.493247056 0.547694154
4374.699872388 -0.291454841 -0.013572804 0.387901907 0.478088653 -0.478095227 -0.487804531 0.552180164
4374.733205660 -0.280581678 -0.013908222 0.397796286 0.479240910 -0.476722253 -0.483458488 0.556176172
4374.766538931 -0.270139429 -0.014062494 0.405765720 0.481688455 -0.475091816 -0.479871765 0.558558044
4374.799872203 -0.258231406 -0.014625533 0.412485925 0.484341512 -0.473955487 -0.476121214 0.560435621
4374.833205474 -0.245873903 -0.015324747 0.417741243 0.487012482 -0.472984970 -0.473501101 0.561160199
4374.866538745 -0.233631997 -0.016101006 0.420978166 0.489308265 -0.471644668 -0.472124332 0.561451106
4374.899872017 -0.221950053 -0.017986062 0.421960090 0.490882646 -0.469667805 -0.471738120 0.562058295
4374.933205288 -0.210292912 -0.020269882 0.419830990 0.490689245 -0.467234438 -0.472060601 0.563981235
4374.966538560 -0.197265841 -0.022031117 0.416000688 0.489376905 -0.464236190 -0.472298010 0.567388398
4374.999871831 -0.184733040 -0.023700456 0.410673462 0.487684532 -0.461362124 -0.473308034 0.570340506
4375.033205103 -0.172255554 -0.024432393 0.402118842 0.486006527 -0.458905155 -0.475832699 0.571652829
4375.066538374 -0.159245139 -0.025170204 0.392283783 0.484847562 -0.455793101 -0.478438035 0.572950728
4375.099871645 -0.145498345 -0.025101619 0.379374072 0.484405106 -0.451910547 -0.481769555 0.573608443
4375.133204917 -0.133091123 -0.024846265 0.363944561 0.484656653 -0.448642045 -0.486053037 0.572346651
4375.166538188 -0.120848720 -0.024463391 0.348834856 0.484791332 -0.446011627 -0.491423941 0.569695974
4375.199871460 -0.108725362 -0.024159997 0.332465743 0.484369850 -0.443618361 -0.497325558 0.566794396
4375.233204731 -0.097526262 -0.024400993 0.315417785 0.482518954 -0.442234259 -0.502706205 0.564704163
4375.266538002 -0.087252762 -0.024647053 0.297252726 0.479314719 -0.441273891 -0.508568172 0.562932649
4375.299871274 -0.078564077 -0.025429353 0.278587528 0.474109412 -0.440864546 -0.514357503 0.562401171
4375.333204545 -0.070301172 -0.026161668 0.259983655 0.468935786 -0.440469482 -0.519164548 0.562631351
4375.366537817 -0.062429114 -0.026738874 0.241710454 0.464366581 -0.442531252 -0.523389860 0.560885749
4375.399871088 -0.054000136 -0.027915601 0.223235226 0.460570040 -0.446457624 -0.526639675 0.557854355
4375.433204360 -0.046145469 -0.028570207 0.204591222 0.457663460 -0.449122931 -0.529869338 0.555041651
4375.466537631 -0.038796796 -0.029133298 0.185952349 0.454686945 -0.450064709 -0.533394591 0.553345959
4375.499870902 -0.032085069 -0.029682925 0.167960458 0.450418185 -0.450131599 -0.536129683 0.554138940
4375.533204174 -0.026523018 -0.029957493 0.149998637 0.444566575 -0.449346629 -0.538532770 0.557163013
4375.566537445 -0.020838893 -0.030198495 0.133081414 0.438006198 -0.446911522 -0.539852312 0.563009896
4375.599870717 -0.015094983 -0.031097927 0.116330398 0.431330664 -0.443902987 -0.539978150 0.570374958
4375.633203988 -0.009568813 -0.031397565 0.099842823 0.425253502 -0.441854209 -0.540040880 0.576437478
4375.666537260 -0.003704126 -0.030909635 0.083680435 0.421028864 -0.441311243 -0.541377316 0.578696538
4375.699870531 0.001763551 -0.030320137 0.067150377 0.419521227 -0.440842703 -0.544577373 0.577143947
4375.733203802 0.006980873 -0.029124381 0.051099814 0.419154036 -0.439652337 -0.547950413 0.575122649
4375.766537074 0.011888740 -0.027900381 0.035397345 0.418582482 -0.438693926 -0.551445278 0.572926218
4375.799870345 0.016263376 -0.026379382 0.020535358 0.416444256 -0.438624154 -0.555014907 0.571087985
4375.833203617 0.020317820 -0.024800674 0.006029041 0.414132064 -0.437096967 -0.558558573 0.570485053
4375.866536888 0.024573479 -0.022667897 -0.007739683 0.412092325 -0.433686767 -0.561877799 0.571304685
4375.899870160 0.030016700 -0.021229903 -0.020599778 0.410040512 -0.431488865 -0.564387701 0.571970857
4375.933203431 0.035897549 -0.019552435 -0.032265397 0.409107560 -0.432118625 -0.566028742 0.570540062
4375.966536702 0.043340071 -0.017466896 -0.043009287 0.410081931 -0.432981589 -0.566728387 0.568488073
4375.999869974 0.052101224 -0.014870612 -0.053023651 0.412811937 -0.432777281 -0.566636937 0.566756307
4376.033203245 0.062244244 -0.012708560 -0.062042729 0.415171012 -0.434797857 -0.565384325 0.564733937
4376.066536517 0.073838020 -0.011180578 -0.070375635 0.417667340 -0.438672422 -0.562799574 0.562474123
4376.099869788 0.084796840 -0.009128275 -0.078314765 0.419772307 -0.442107526 -0.560806940 0.560203286
4376.133203059 0.095615108 -0.007271753 -0.085912207 0.420995818 -0.443893401 -0.559205531 0.559473273
4376.166536331 0.106350471 -0.005368550 -0.093007228 0.422162210 -0.444531686 -0.557071806 0.560215719
4376.199869602 0.117419760 -0.003541714 -0.099287030 0.423758444 -0.445594758 -0.553967894 0.561242964
4376.233202874 0.128557625 -0.001912237 -0.105023869 0.426266582 -0.446276455 -0.550975423 0.561747461
4376.266536145 0.140179753 -0.000511265 -0.110114369 0.430097626 -0.446928775 -0.548525059 0.560705771
4376.299869417 0.152355858 0.000362515 -0.114294804 0.434297125 -0.449476864 -0.544871339 0.558991753
4376.333202688 0.164181743 0.000934908 -0.117837125 0.438157618 -0.451493297 -0.542278596 0.556871286
4376.366535959 0.175429904 0.001378516 -0.120435024 0.441196693 -0.453494247 -0.539785100 0.555266146
4376.399869231 0.185678238 0.001421169 -0.122044686 0.444039427 -0.455783433 -0.536939005 0.553883520
4376.433202502 0.195952531 0.000952716 -0.122851901 0.446614158 -0.458256892 -0.534287071 0.552334808
4376.466535774 0.205683745 0.000998744 -0.122664214 0.448913842 -0.460949047 -0.531368599 0.551044237
4376.499869045 0.214856810 0.001302353 -0.121516419 0.451735567 -0.463161444 -0.529080902 0.549080917
4376.533202317 0.223834406 0.001680901 -0.119407924 0.455228692 -0.465345832 -0.526986142 0.546356752
4376.566535588 0.232132672 0.001586651 -0.116379166 0.458231284 -0.468646023 -0.524914984 0.543009443
4376.599868859 0.240042555 0.001195157 -0.112579166 0.460553836 -0.472276479 -0.523524244 0.539228576
4376.633202131 0.247170147 0.000651896 -0.108047526 0.463093467 -0.475349620 -0.522054092 0.535767399
4376.666535402 0.253895958 0.000298233 -0.102596283 0.465865569 -0.478097523 -0.520756263 0.532170033
4376.699868674 0.260656128 -0.000326806 -0.096025046 0.468426894 -0.481704624 -0.518301080 0.529056604
4376.733201945 0.267168708 -0.001029986 -0.088320543 0.470828646 -0.485990155 -0.514627862 0.526585339
4376.766535217 0.272968938 -0.001484641 -0.079945711 0.473496305 -0.489474156 -0.510980355 0.524514420
4376.799868488 0.278675924 -0.002050216 -0.070728797 0.475854750 -0.492491304 -0.507553899 0.522880112
4376.833201759 0.283930642 -0.002315575 -0.060855490 0.478147798 -0.495316772 -0.503838843 0.521711030
