#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
24014114858858,16740,-0.516703308,0.0902673975,-1.24706042,-0.126136929,-0.242616072,-0.0607521497,0.959966779
24014131524795,16758,-0.512753606,0.0908220112,-1.25368237,-0.125856176,-0.233914614,-0.0643176883,0.961929023
24014148204900,16774,-0.509289384,0.0911862478,-1.2594713,-0.125853568,-0.228110284,-0.0673641339,0.963114083
24014164862087,16790,-0.505639017,0.0913760811,-1.2651819,-0.126054704,-0.224299237,-0.0701995939,0.963780105
24014181590108,16807,-0.501714528,0.0914789885,-1.27114856,-0.126318112,-0.222722709,-0.0729128644,0.963909864
24014198197035,16824,-0.497991472,0.0915290788,-1.27710581,-0.12633507,-0.223833472,-0.0752573013,0.963470042
24014214857504,16840,-0.494662881,0.091560252,-1.28265917,-0.125786081,-0.227204427,-0.0771393552,0.962603569
24014231531045,16856,-0.491304129,0.091617547,-1.28822005,-0.124586783,-0.232550189,-0.0787878409,0.961348534
24014248212452,16873,-0.487560034,0.091739893,-1.29407108,-0.122662924,-0.240484253,-0.0803593993,0.959512174
24014264859327,16890,-0.483779967,0.091890797,-1.29986966,-0.120190397,-0.25081709,-0.0815741718,0.957074106
24014281526775,16906,-0.480300486,0.091966778,-1.30525911,-0.117225699,-0.262604594,-0.0822174996,0.954220772
24014298213129,16922,-0.476871073,0.0919819921,-1.31047344,-0.113586031,-0.276149571,-0.0823129863,0.950822949
24014314860785,16940,-0.472942352,0.0921133533,-1.31639922,-0.109291852,-0.292969167,-0.0819466859,0.946313441
24014331533025,16956,-0.469735682,0.0923402607,-1.32140756,-0.105806999,-0.30875963,-0.0813975111,0.941725492
24014348256879,16972,-0.466499627,0.0926806852,-1.32640517,-0.102997676,-0.325156927,-0.0810051113,0.936537623
24014364858441,16989,-0.462182283,0.0931203365,-1.33205354,-0.100818314,-0.34320876,-0.0809812322,0.93031472
24014381533077,17006,-0.457731187,0.0937726721,-1.33774459,-0.09924227,-0.361508816,-0.0814322159,0.923488617
24014398193754,17022,-0.453911275,0.0947514921,-1.34314156,-0.0977517664,-0.378795654,-0.0821215212,0.916632175
24014414883389,17039,-0.449878901,0.0960309207,-1.34877598,-0.0957435519,-0.397250235,-0.0828398764,0.90893513
24014431640056,17056,-0.445630133,0.0974232182,-1.35442924,-0.0932438225,-0.415626287,-0.0834267288,0.900888681
24014448191931,17072,-0.441404402,0.0987501442,-1.35973001,-0.0906505063,-0.432652533,-0.0840260535,0.893047631
24014464880733,17088,-0.437116414,0.0999874845,-1.36484206,-0.0879855677,-0.449202627,-0.0848949328,0.885024548
24014481525316,17105,-0.432518125,0.101215549,-1.37003779,-0.0851166248,-0.466030747,-0.0860150978,0.876454175
24014498481150,17121,-0.428198189,0.102233216,-1.37465417,-0.0824198723,-0.481027246,-0.087137945,0.868462324
24014514873545,17138,-0.423472971,0.103008121,-1.37940705,-0.0797117501,-0.496107697,-0.0884575993,0.860057294
24014531539275,17155,-0.418592542,0.103420421,-1.38402522,-0.0774401128,-0.510410428,-0.0900505185,0.851689637
24014548207035,17171,-0.413980067,0.103467613,-1.38812149,-0.0759639218,-0.523259759,-0.0919637159,0.843783975
24014564856670,17188,-0.409123749,0.10319908,-1.39212584,-0.0750068799,-0.536376297,-0.0943976343,0.835322499
24014581578181,17204,-0.40455997,0.102728814,-1.3956368,-0.0744190216,-0.548243999,-0.0967473388,0.827363491
24014598203962,17221,-0.399525642,0.102098539,-1.39927423,-0.073973313,-0.560203314,-0.0990830362,0.819074392
24014614861879,17238,-0.394360125,0.101383895,-1.40278482,-0.073650822,-0.571301103,-0.101158909,0.811145842
24014631537920,17254,-0.389400601,0.100635096,-1.40598106,-0.0735409036,-0.580862582,-0.102861017,0.804120719
24014648190577,17270,-0.38448295,0.0998339579,-1.40900338,-0.0736501962,-0.589576483,-0.104353696,0.797549725
24014665213389,17288,-0.378846794,0.0989075005,-1.41233706,-0.0738164559,-0.598547757,-0.105809845,0.790630221
24014681567972,17304,-0.373585701,0.0980669856,-1.41530704,-0.0737954378,-0.605911434,-0.106821969,0.784865975
24014698207608,17320,-0.368240446,0.0972239226,-1.41818345,-0.0734704211,-0.612679362,-0.10747879,0.779534757
24014714872139,17337,-0.362345278,0.0963373035,-1.42126667,-0.0728617162,-0.619208217,-0.107822187,0.774368644
24014731526670,17354,-0.356205404,0.0955049694,-1.42440295,-0.0721721798,-0.625106633,-0.108055741,0.769647241
24014748203389,17370,-0.350272566,0.0946746469,-1.42732453,-0.0715253577,-0.630096197,-0.108281396,0.765596628
24014764860681,17386,-0.344134301,0.0937593505,-1.43018997,-0.0708239004,-0.634548545,-0.108450733,0.761951864
24014781643597,17404,-0.336991966,0.0927107781,-1.43337059,-0.0700912848,-0.638986707,-0.108538277,0.758289397
